company,year,quarter,earnings
Ceconomy St,2014,4,"8,000,000.00"
Ceconomy St,2015,1,"404,000,000.00"
Ceconomy St,2015,2,"-394,000,000.00"
Ceconomy St,2015,3,"115,000,000.00"
Ceconomy St,2015,4,"547,000,000.00"
Ceconomy St,2016,1,"549,000,000.00"
Ceconomy St,2016,2,"-65,000,000.00"
Ceconomy St,2016,3,"-24,000,000.00"
Ceconomy St,2016,4,"139,000,000.00"
Ceconomy St,2017,1,"200,000,000.00"
Ceconomy St,2017,2,"131,000,000.00"
Ceconomy St,2017,3,"132,000,000.00"
Ceconomy St,2017,4,"639,000,000.00"
CTS Eventim,2012,1,"11,000,000.00"
CTS Eventim,2012,2,"10,100,000.00"
CTS Eventim,2012,3,"6,100,000.00"
CTS Eventim,2012,4,"27,800,000.00"
CTS Eventim,2013,1,"13,000,000.00"
CTS Eventim,2013,2,"14,600,000.00"
CTS Eventim,2013,3,"7,300,000.00"
CTS Eventim,2013,4,"26,200,000.00"
CTS Eventim,2014,1,"14,900,000.00"
CTS Eventim,2014,2,"15,400,000.00"
CTS Eventim,2014,3,"9,300,000.00"
CTS Eventim,2014,4,"37,100,000.00"
CTS Eventim,2015,1,"18,400,000.00"
CTS Eventim,2015,2,"18,100,000.00"
CTS Eventim,2015,3,"10,400,000.00"
CTS Eventim,2015,4,"42,100,000.00"
CTS Eventim,2016,1,"18,600,000.00"
CTS Eventim,2016,2,"18,400,000.00"
CTS Eventim,2016,3,"9,200,000.00"
CTS Eventim,2016,4,"48,400,000.00"
CTS Eventim,2017,1,"28,100,000.00"
CTS Eventim,2017,2,"19,100,000.00"
CTS Eventim,2017,3,"13,500,000.00"
CTS Eventim,2017,4,"52,100,000.00"
Deutsche EuroShop,2012,1,"16,500,000.00"
Deutsche EuroShop,2012,2,"16,100,000.00"
Deutsche EuroShop,2012,3,"17,300,000.00"
Deutsche EuroShop,2012,4,"72,600,000.00"
Deutsche EuroShop,2013,1,"20,100,000.00"
Deutsche EuroShop,2013,2,"21,700,000.00"
